Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	2	nsubj	_	@juad1986m-words#@juad1986m#1259.087#1259.5
2	провел	провести	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	0	root	_	@juad1986m-words#@juad1986m#1259.5#1259.913
3	эээ	эээ	INTJ	_	_	2	flat:foreign	_	@juad1986m-words#@juad1986m#1259.913#1260.327
4	/	/	PUNCT	_	_	3	punct	_	@juad1986m-words#@juad1986m#1260.327#1260.74
5	значительную	значительный	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	6	amod	_	@juad1986m-words#@juad1986m#1260.74#1261.153
6	часть	часть	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	2	obj	_	@juad1986m-words#@juad1986m#1261.153#1261.567
7	детства	детство	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	6	nmod	_	@juad1986m-words#@juad1986m#1261.567#1261.98
8	и	и	CCONJ	_	_	9	cc	_	@juad1986m-words#@juad1986m#1261.98#1262.393
9	юности	юность	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	7	conj	_	@juad1986m-words#@juad1986m#1262.393#1262.807
10	в	в	ADP	_	_	11	case	_	@juad1986m-words#@juad1986m#1262.807#1263.22
11	Будапеште	Будапешт	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	7	nmod	_	@juad1986m-words#@juad1986m#1263.22#1263.634
12	во-первых	во-первых	ADV	_	Degree=Pos	22	advmod	_	@juad1986m-words#@juad1986m#1264.198#1264.509
13	если	если	SCONJ	_	_	22	mark	_	@juad1986m-words#@juad1986m#1264.509#1264.82
14	коротко	коротко	ADV	_	Degree=Pos	22	advmod	_	@juad1986m-words#@juad1986m#1264.82#1265.131
15	твои	твой	DET	_	Case=Nom|Number=Plur	16	det	_	@juad1986m-words#@juad1986m#1265.131#1265.442
16	родители	родитель	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	22	nsubj	_	@juad1986m-words#@juad1986m#1265.442#1265.753
17	дипломаты	дипломат	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	22	nsubj	_	@juad1986m-words#@juad1986m#1265.753#1266.064
18	ага	ага	INTJ	_		17	nmod	_	@juad1986m-words#@juad1986m#1268.879#1269.199
19	#смеется#	#смеется#	X	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	18	nmod	_	@juad1986m-words#@juad1986m#1277.224#1277.68
20	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	22	nsubj	_	@juad1986m-words#@juad1986m#1277.68#1278.137
21	/	/	PUNCT	_	_	22	punct	_	@juad1986m-words#@juad1986m#1278.137#1278.593
22	слышал	слышать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	2	advcl	_	@juad1986m-words#@juad1986m#1278.593#1279.05
23	об	об	ADP	_	_	24	case	_	@juad1986m-words#@juad1986m#1279.05#1279.506
24	этом	это	DET	_	Case=Loc|Gender=Masc|Number=Sing	22	obl	_	@juad1986m-words#@juad1986m#1279.506#1279.963
25	да	да	INTJ	_		22	advmod	_	@juad1986m-words#@juad1986m#1280.1#1280.27
26	/	/	PUNCT	_	_	28	punct	_	@juad1986m-words#@juad1986m#1280.27#1280.44
27	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	28	nsubj	_	@juad1986m-words#@juad1986m#1280.44#1280.61
28	слышал	слышать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	22	conj	_	@juad1986m-words#@juad1986m#1280.61#1280.78
29	об	об	ADP	_	_	30	case	_	@juad1986m-words#@juad1986m#1280.78#1280.95
30	этом	это	DET	_	Case=Loc|Gender=Masc|Number=Sing	28	obl	_	@juad1986m-words#@juad1986m#1280.95#1281.12
31	так	так	ADV	_	Degree=Pos	28	advmod	_	@juad1986m-words#@juad1986m#1281.12#1281.526
32	ага	ага	INTJ	_		38	nsubj:pass	_	@juad1986m-words#@juad1986m#1293.052#1293.288
33	ага	ага	INTJ	_		32	nmod	_	@juad1986m-words#@juad1986m#1296.048#1296.49
34	трек	трек	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	33	nmod	_	@juad1986m-words#@juad1986m#1301.916#1302.321
35	/	/	PUNCT	_	_	36	punct	_	@juad1986m-words#@juad1986m#1302.321#1302.727
36	эээ	эээ	INTJ	_		34	flat:foreign	_	@juad1986m-words#@juad1986m#1302.727#1303.132
37	Будапешт	Будапешт	PROPN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	38	obl	_	@juad1986m-words#@juad1986m#1303.132#1303.538
38	посвящен	посвятить	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	28	obj	_	@juad1986m-words#@juad1986m#1303.538#1303.944
39	твоему	твой	DET	_	Case=Dat|Gender=Masc|Number=Sing	40	det	_	@juad1986m-words#@juad1986m#1303.944#1304.349
40	корешу	кореш	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	38	iobj	_	@juad1986m-words#@juad1986m#1304.349#1304.755
41	/	/	PUNCT	_	_	43	punct	_	@juad1986m-words#@juad1986m#1304.755#1305.16
42	который	который	PRON	_	Case=Acc	43	obj	_	@juad1986m-words#@juad1986m#1305.16#1305.566
43	погиб	погибнуть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	40	acl:relcl	_	@juad1986m-words#@juad1986m#1305.566#1305.972
44	расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	43	conj	_	@juad1986m-words#@juad1986m#1315.775#1316.06
45	что	что	SCONJ	_	_	48	mark	_	@juad1986m-words#@juad1986m#1316.06#1316.345
46	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	48	nsubj	_	@juad1986m-words#@juad1986m#1316.345#1316.63
47	за	за	ADP	_	_	48	case	_	@juad1986m-words#@juad1986m#1316.63#1316.915
